,,Employment and Wage Data,,,,,,Financial data (in thousands),,,,,,,Significant measures,,,,,,,,Solvency Data,,,,,,,,Claims data,,,,,,,,,,,Reimburseable Data,,,,,,,,,,Extended Benefits Data,,,,,,,,,Emergency Federal Programs,,,,
,,,,,,,,,,,,,,,Percent of total wages,,,Average employer tax rate as a % of taxable wages,Reserve ratio(% of total wages) as multiple of highest 12-month benefit cost rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average monthly covered employment,Wages paid in covered employment during year (thousands),,Ratio of taxable to total wages,Average weekly wage in covered employment,,,,,,,,,Contributions collected,Benefits paid,Average employer tax rate,,Reserve ratio,High Cost,,Multiple,,,,,,,,,Number of first payments,Weeks compensated for all unemployment,Claimants exhausting benefits,,Average duration (in weeks),,,Weekly insured unemployed,,Average weekly benefit,,Average monthly covered employment,,,Total wages (in thousands),,,Average weekly wage in total covered employment,Benefits paid (in thousands),,,Financial data (in thousands),,,,Claims data,,,,,Financial data (in thousands),Claims data,,,
,,,Total,Taxable,,Total,Taxable,Contributions collected,Interest credited to trust fund,Benefits paid,Reserves as of Dec 31,Year End federal loans to state reserve funds balance,Year End net reserve balance,Year End taxable wage base,,,,,,Rate,12 mos. ending,,High Cost Years in last 20 years or 3 recessions,,,High Cost Rates for High Cost Years,,,3-year Average High Cost Rate,Average High Cost Multiple,,,Number,Exhaustion Rate (% of first payments),Potential,Actual,Actual for exhaustees,Average number,Percent of cov. employ.,Amount,Ratio to average weekly total wage,Total,Public,Nonprofit,Total,Public,Nonprofit,,Total,Public,Nonprofit,Total extended benefits paid,State share of extended benefits paid,Federal share of extended benefits paid,Federal share of regular benefits paid,Number of first payments,Weeks compensated for all unemployment,Number of claimants exhausting benefits,Average weekly benefit amount,Average compensable duration (actual),Total benefits paid,Number of first payments,Weeks compensated,Number of claimants exhausting benefits,Average weekly benefit amount
YR,ST,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c22a,c22a,c22a,c22b,c22b,c22b,c22c,c22d,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57
﻿AK    ,  1938,         10356,         18066,         18066,   1.000,   33.55,   33.55,           635,            12,             0,           885,             0,           885,             0,  3.51,   .00,  2.70,  2.70,  4.90,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,             0,             0,             0,    .0,    .0,    .0,    .0,             0,    .0,     .00,   .000,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1939,         10188,         18663,         18663,   1.000,   35.23,   35.23,           547,            21,           350,          1104,             0,          1104,             0,  2.93,  1.88,  2.70,  2.70,  5.92,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          2558,         19230,           826,    .0,    .0,   7.5,    .0,             0,    .0,   15.06,   .427,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1940,         12776,         23081,         23081,   1.000,   34.74,   34.74,           585,            25,           527,          1187,             0,          1187,             0,  2.53,  2.28,  2.70,  2.70,  5.14,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          4641,         36421,          2104,  45.9,    .0,   7.8,    .0,             0,    .0,   14.67,   .422,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1941,         17939,         39092,         37242,    .953,   41.91,   39.92,           927,            32,           293,          1840,             0,          1840,          3000,  2.37,   .75,  2.60,  2.70,  4.71,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          2783,         19986,           710,  24.2,    .0,   7.2,    .0,             0,    .0,   14.24,   .340,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1942,         21509,         53583,         50101,    .935,   47.91,   44.79,          1334,            52,           147,          3079,             0,          3079,          3000,  2.49,   .27,  2.52,  2.70,  5.75,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          1317,         10323,           215,  12.7,    .0,   7.8,    .0,             0,    .0,   14.18,   .296,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1943,         22878,         73970,         67881,    .918,   62.18,   57.06,          1448,            73,            23,          4576,             0,          4576,          3000,  1.96,   .03,  2.48,  2.70,  6.19,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,           285,          1888,            47,  16.2,    .0,   6.6,    .0,             0,    .0,   12.98,   .209,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1944,         22478,         88365,         72151,    .817,   75.60,   61.73,          2301,           104,            30,          6952,             0,          6952,          3000,  2.60,   .03,  2.20,  2.70,  7.87,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,           270,          2226,            69,  25.7,    .0,   8.2,    .0,             0,    .0,   14.21,   .188,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1945,         15878,         52322,         47444,    .907,   63.37,   57.46,          1452,           145,            88,          8461,             0,          8461,          3000,  2.78,   .17,  2.45,  2.70, 16.17,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          1032,          5136,            78,  23.1,    .0,   5.0,  14.7,             0,    .0,   15.57,   .246,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1946,         17732,         53613,         50381,    .940,   58.14,   54.64,          1150,           165,           434,          9343,             0,          9343,          3000,  2.15,   .81,  2.53,  2.70, 17.43,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          2335,         27259,           757,  28.9,  15.6,  11.7,  15.0,             0,    .0,   16.03,   .276,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1947,         24801,        100078,         91390,    .913,   77.60,   70.86,          1951,           194,           556,         10931,             0,         10931,          3000,  1.95,   .56,  1.82,  2.09, 10.92,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          3024,         25458,           760,  31.2,  17.0,   8.4,  14.6,           359,   1.4,   22.01,   .284,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1948,         23479,        103229,         87476,    .847,   84.55,   71.65,          1574,           229,          1409,         11325,             0,         11325,          3000,  1.52,  1.36,  1.45,  1.73, 10.97,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          6288,         60981,          1467,  27.1,  19.0,   9.7,  14.4,           925,   3.9,   23.45,   .277,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1949,         23089,        106666,         87600,    .821,   88.84,   72.96,          1364,           224,          2578,         10335,             0,         10335,          3000,  1.28,  2.42,  1.23,  1.50,  9.69,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,          8862,        109292,          2677,  31.2,  18.6,  12.3,  14.6,          1162,   5.0,   23.85,   .268,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
AK    ,  1950,         25208,        120897,         98161,    .812,   92.23,   74.89,          1930,           189,          3313,          9141,             0,          9141,          3000,  1.60,  2.74,  1.85,  2.29,  7.56,   .00,                  ,   .00,      ,      ,      ,       ,       ,       ,       ,       ,         10815,        131756,          4032,  34.9,  18.4,  12.2,  13.9,          1847,   7.3,   25.53,   .277,             0,             0,             0,             0,             0,             0,     .00,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,     .00,      .0,              ,              ,              ,              ,        
