"date1","date","trans"
"01/03/2005",2005-01-03,1527991.09
"01/03/2005",2005-01-03,11513.77
"01/03/2005",2005-01-03,14500
"01/03/2005",2005-01-03,-1723000
"01/04/2005",2005-01-04,-2205000
"01/05/2005",2005-01-05,38000
"01/05/2005",2005-01-05,-933000
"01/06/2005",2005-01-06,76000
"01/06/2005",2005-01-06,-436000
"01/07/2005",2005-01-07,124000
"01/07/2005",2005-01-07,-395000
"01/10/2005",2005-01-10,95000
"01/10/2005",2005-01-10,-3e+05
"01/11/2005",2005-01-11,97000
"01/11/2005",2005-01-11,-3482000
"01/12/2005",2005-01-12,139000
"01/12/2005",2005-01-12,-819000
"01/13/2005",2005-01-13,809000
"01/13/2005",2005-01-13,-496000
"01/14/2005",2005-01-14,348000
"01/14/2005",2005-01-14,-296000
"01/18/2005",2005-01-18,760000
"01/18/2005",2005-01-18,-2988000
"01/18/2005",2005-01-18,1344.12
"01/19/2005",2005-01-19,6e+05
"01/19/2005",2005-01-19,31016.54
"01/19/2005",2005-01-19,17133.36
"01/19/2005",2005-01-19,479.6
"01/19/2005",2005-01-19,1142.64
"01/19/2005",2005-01-19,-1041000
"01/20/2005",2005-01-20,6e+05
"01/20/2005",2005-01-20,-32.01
"01/20/2005",2005-01-20,-1869.85
"01/20/2005",2005-01-20,-21780.56
"01/20/2005",2005-01-20,-1281.57
"01/20/2005",2005-01-20,4865.33
"01/20/2005",2005-01-20,-519000
"01/21/2005",2005-01-21,430000
"01/21/2005",2005-01-21,11944.28
"01/21/2005",2005-01-21,-281000
"01/24/2005",2005-01-24,524000
"01/24/2005",2005-01-24,-160000
"01/24/2005",2005-01-24,18819.9
"01/24/2005",2005-01-24,4384.9
"01/24/2005",2005-01-24,11489.01
"01/24/2005",2005-01-24,12385.68
"01/24/2005",2005-01-24,4024.45
"01/25/2005",2005-01-25,650000
"01/25/2005",2005-01-25,-3144000
"01/25/2005",2005-01-25,4288.19
"01/25/2005",2005-01-25,616.24
"01/25/2005",2005-01-25,-1251.8
"01/25/2005",2005-01-25,-974.8
"01/25/2005",2005-01-25,-4315.66
"01/25/2005",2005-01-25,-17865.68
"01/25/2005",2005-01-25,-7364.15
"01/26/2005",2005-01-26,732000
"01/26/2005",2005-01-26,6979.95
"01/26/2005",2005-01-26,-672000
"01/27/2005",2005-01-27,733000
"01/27/2005",2005-01-27,-5516.01
"01/27/2005",2005-01-27,-351.89
"01/27/2005",2005-01-27,-5542.44
"01/27/2005",2005-01-27,-96014.82
"01/27/2005",2005-01-27,-15120.59
"01/27/2005",2005-01-27,-30575.43
"01/27/2005",2005-01-27,-8353.28
"01/27/2005",2005-01-27,124826.55
"01/27/2005",2005-01-27,6367.26
"01/27/2005",2005-01-27,-343000
"01/28/2005",2005-01-28,578000
"01/28/2005",2005-01-28,-193000
"01/28/2005",2005-01-28,234.24
"01/28/2005",2005-01-28,3015.98
"01/28/2005",2005-01-28,2411.07
"01/31/2005",2005-01-31,831000
"01/31/2005",2005-01-31,9099.51
"01/31/2005",2005-01-31,3029.89
"01/31/2005",2005-01-31,9215.78
"01/31/2005",2005-01-31,53.14
"01/31/2005",2005-01-31,147603.55
"01/31/2005",2005-01-31,-147000
"01/31/2005",2005-01-31,-23137
"01/03/2006",2006-01-03,1307056.41
"01/03/2006",2006-01-03,47000
"01/03/2006",2006-01-03,-2718000
"01/04/2006",2006-01-04,7000
"01/04/2006",2006-01-04,-1149200
"01/05/2006",2006-01-05,50000
"01/05/2006",2006-01-05,-887000
"01/06/2006",2006-01-06,72000
"01/06/2006",2006-01-06,-15162.25
"01/06/2006",2006-01-06,-486500
"01/09/2006",2006-01-09,90000
"01/09/2006",2006-01-09,-2116000
"01/10/2006",2006-01-10,244000
"01/10/2006",2006-01-10,-460.18
"01/10/2006",2006-01-10,-83508.53
"01/10/2006",2006-01-10,-9348.81
"01/10/2006",2006-01-10,-1551000
"01/11/2006",2006-01-11,212000
"01/11/2006",2006-01-11,-690000
"01/12/2006",2006-01-12,364000
"01/12/2006",2006-01-12,-423000
"01/13/2006",2006-01-13,243000
"01/13/2006",2006-01-13,-190000
"01/17/2006",2006-01-17,375000
"01/17/2006",2006-01-17,-271.95
"01/17/2006",2006-01-17,-1867.55
"01/17/2006",2006-01-17,-7398.73
"01/17/2006",2006-01-17,-2976000
"01/18/2006",2006-01-18,639000
"01/18/2006",2006-01-18,10127.09
"01/18/2006",2006-01-18,-15089.97
"01/18/2006",2006-01-18,2686.78
"01/18/2006",2006-01-18,1357.4
"01/18/2006",2006-01-18,1542.9
"01/18/2006",2006-01-18,122486.77
"01/18/2006",2006-01-18,-676500
"01/19/2006",2006-01-19,239000
"01/19/2006",2006-01-19,-284000
"01/19/2006",2006-01-19,1445.34
"01/19/2006",2006-01-19,5589.07
"01/19/2006",2006-01-19,-624.99
"01/19/2006",2006-01-19,-9877.31
"01/19/2006",2006-01-19,-1500.2
"01/19/2006",2006-01-19,-1479.4
"01/19/2006",2006-01-19,-25498.39
"01/19/2006",2006-01-19,-5161.49
"01/19/2006",2006-01-19,-499.8
"01/19/2006",2006-01-19,13921.31
"01/19/2006",2006-01-19,2081.42
"01/20/2006",2006-01-20,61000
"01/20/2006",2006-01-20,16478.58
"01/20/2006",2006-01-20,-12968.55
"01/20/2006",2006-01-20,-229500
"01/23/2006",2006-01-23,526000
"01/23/2006",2006-01-23,15667.95
"01/23/2006",2006-01-23,4461.55
"01/23/2006",2006-01-23,2012.81
"01/23/2006",2006-01-23,9577.54
"01/23/2006",2006-01-23,1377.6
"01/23/2006",2006-01-23,6231.21
"01/23/2006",2006-01-23,-9091.43
"01/23/2006",2006-01-23,-296889.78
"01/23/2006",2006-01-23,-9551.42
"01/23/2006",2006-01-23,-310985.61
"01/23/2006",2006-01-23,-1948500
"01/24/2006",2006-01-24,887000
"01/24/2006",2006-01-24,8869.12
"01/24/2006",2006-01-24,13236.31
"01/24/2006",2006-01-24,2936.89
"01/24/2006",2006-01-24,3011.78
"01/24/2006",2006-01-24,-183.34
"01/24/2006",2006-01-24,-30225.34
"01/24/2006",2006-01-24,-1191300
"01/25/2006",2006-01-25,972000
"01/25/2006",2006-01-25,112677.12
"01/25/2006",2006-01-25,11000.71
"01/25/2006",2006-01-25,48295.68
"01/25/2006",2006-01-25,4043.85
"01/25/2006",2006-01-25,13701.46
"01/25/2006",2006-01-25,11927.92
"01/25/2006",2006-01-25,-512500
"01/26/2006",2006-01-26,768000
"01/26/2006",2006-01-26,-1105.34
"01/26/2006",2006-01-26,-5405.2
"01/26/2006",2006-01-26,2601.77
"01/26/2006",2006-01-26,1466.41
"01/26/2006",2006-01-26,-362000
"01/27/2006",2006-01-27,752000
"01/27/2006",2006-01-27,-145400
"01/27/2006",2006-01-27,7523.66
"01/27/2006",2006-01-27,-1786.93
"01/27/2006",2006-01-27,-8815.4
"01/27/2006",2006-01-27,75.52
"01/30/2006",2006-01-30,-26657
"01/30/2006",2006-01-30,758000
"01/30/2006",2006-01-30,-1770000
"01/30/2006",2006-01-30,-70998.69
"01/30/2006",2006-01-30,-8306.1
"01/30/2006",2006-01-30,-1854.56
"01/30/2006",2006-01-30,-134247.61
"01/30/2006",2006-01-30,270.55
"01/31/2006",2006-01-31,593000
"01/31/2006",2006-01-31,-47150.56
"01/31/2006",2006-01-31,-1195000
"01/02/2007",2007-01-02,142000
"01/02/2007",2007-01-02,-1e+06
"01/02/2007",2007-01-02,-3312500
"01/02/2007",2007-01-02,-15934
"01/03/2007",2007-01-03,52000
"01/03/2007",2007-01-03,-980000
"01/04/2007",2007-01-04,69000
"01/04/2007",2007-01-04,-525500
"01/05/2007",2007-01-05,95000
"01/05/2007",2007-01-05,-496000
"01/08/2007",2007-01-08,82000
"01/08/2007",2007-01-08,-2126000
"01/08/2007",2007-01-08,-480.6
"01/08/2007",2007-01-08,-27019.67
"01/08/2007",2007-01-08,-15934.85
"01/08/2007",2007-01-08,-3199000
"01/09/2007",2007-01-09,-1147000
"01/10/2007",2007-01-10,115000
"01/10/2007",2007-01-10,-591000
"01/11/2007",2007-01-11,286000
"01/11/2007",2007-01-11,1178.61
"01/11/2007",2007-01-11,-5197.97
"01/11/2007",2007-01-11,-2.04
"01/11/2007",2007-01-11,-75487.79
"01/11/2007",2007-01-11,-1675.83
"01/11/2007",2007-01-11,-4303.56
"01/11/2007",2007-01-11,-296.36
"01/11/2007",2007-01-11,-478000
"01/12/2007",2007-01-12,470000
"01/12/2007",2007-01-12,-1396.83
"01/12/2007",2007-01-12,-21473.35
"01/12/2007",2007-01-12,17836.95
"01/12/2007",2007-01-12,1384.09
"01/12/2007",2007-01-12,-413000
"01/16/2007",2007-01-16,130000
"01/16/2007",2007-01-16,2511.58
"01/16/2007",2007-01-16,14323.63
"01/16/2007",2007-01-16,13004.27
"01/16/2007",2007-01-16,-6761.53
"01/16/2007",2007-01-16,-8658.95
"01/16/2007",2007-01-16,-45.09
"01/16/2007",2007-01-16,111554.85
"01/16/2007",2007-01-16,2709.89
"01/16/2007",2007-01-16,-3676500
"01/17/2007",2007-01-17,570000
"01/17/2007",2007-01-17,13509.31
"01/17/2007",2007-01-17,212310.65
"01/17/2007",2007-01-17,-597000
"01/18/2007",2007-01-18,330000
"01/18/2007",2007-01-18,32578.53
"01/18/2007",2007-01-18,10877.84
"01/18/2007",2007-01-18,8353.47
"01/18/2007",2007-01-18,-335885.04
"01/18/2007",2007-01-18,-7550.97
"01/18/2007",2007-01-18,-32081.51
"01/18/2007",2007-01-18,-39397.58
"01/18/2007",2007-01-18,-5035.32
"01/18/2007",2007-01-18,2120.33
"01/18/2007",2007-01-18,1567.6
"01/18/2007",2007-01-18,11879.47
"01/18/2007",2007-01-18,4484.45
"01/18/2007",2007-01-18,-393000
"01/19/2007",2007-01-19,480000
"01/19/2007",2007-01-19,6111.07
"01/19/2007",2007-01-19,22401.99
"01/19/2007",2007-01-19,-3419.87
"01/19/2007",2007-01-19,10416.35
"01/19/2007",2007-01-19,-321000
"01/22/2007",2007-01-22,4e+05
"01/22/2007",2007-01-22,7964.55
"01/22/2007",2007-01-22,-1873.94
"01/22/2007",2007-01-22,-7652.43
"01/22/2007",2007-01-22,-10096.31
"01/22/2007",2007-01-22,-1880.7
"01/22/2007",2007-01-22,9414.75
"01/22/2007",2007-01-22,-2885000
"01/23/2007",2007-01-23,423000
"01/23/2007",2007-01-23,149452.48
"01/23/2007",2007-01-23,3084.99
"01/23/2007",2007-01-23,-39933.15
"01/23/2007",2007-01-23,-161913.42
"01/23/2007",2007-01-23,-129801.8
"01/23/2007",2007-01-23,-1009000
"01/24/2007",2007-01-24,399000
"01/24/2007",2007-01-24,-431000
"01/24/2007",2007-01-24,1197.17
"01/24/2007",2007-01-24,13903.53
"01/24/2007",2007-01-24,13666.53
"01/25/2007",2007-01-25,564000
"01/25/2007",2007-01-25,7884.77
"01/25/2007",2007-01-25,-80245.54
"01/25/2007",2007-01-25,1258.09
"01/25/2007",2007-01-25,180495.33
"01/25/2007",2007-01-25,-330000
"01/26/2007",2007-01-26,470000
"01/26/2007",2007-01-26,4948.48
"01/26/2007",2007-01-26,-121312.79
"01/26/2007",2007-01-26,-225000
"01/29/2007",2007-01-29,620000
"01/29/2007",2007-01-29,2788.43
"01/29/2007",2007-01-29,1488.64
"01/29/2007",2007-01-29,2293.11
"01/29/2007",2007-01-29,87465.58
"01/29/2007",2007-01-29,-2783500
"01/30/2007",2007-01-30,760000
"01/30/2007",2007-01-30,-6185.31
"01/30/2007",2007-01-30,-22180.9
"01/30/2007",2007-01-30,-956000
"01/31/2007",2007-01-31,1242000
"01/31/2007",2007-01-31,-362000
"01/02/2008",2008-01-02,42000
"01/02/2008",2008-01-02,-3818000
"01/03/2008",2008-01-03,44000
"01/03/2008",2008-01-03,-860000
"01/04/2008",2008-01-04,26000
"01/04/2008",2008-01-04,-1353.44
"01/04/2008",2008-01-04,-423700
"01/07/2008",2008-01-07,95000
"01/07/2008",2008-01-07,-446700
"01/08/2008",2008-01-08,154000
"01/08/2008",2008-01-08,-4101400
"01/09/2008",2008-01-09,203000
"01/09/2008",2008-01-09,-731000
"01/09/2008",2008-01-09,-636500
"01/10/2008",2008-01-10,77000
"01/10/2008",2008-01-10,-618000
"01/11/2008",2008-01-11,154000
"01/11/2008",2008-01-11,-437200
"01/14/2008",2008-01-14,1e+05
"01/14/2008",2008-01-14,-436900
"01/15/2008",2008-01-15,90000
"01/15/2008",2008-01-15,-4012000
"01/16/2008",2008-01-16,280000
"01/16/2008",2008-01-16,16058.28
"01/16/2008",2008-01-16,23711.24
"01/16/2008",2008-01-16,-436500
"01/17/2008",2008-01-17,150000
"01/17/2008",2008-01-17,-413900
"01/17/2008",2008-01-17,14433.05
"01/17/2008",2008-01-17,11805.45
"01/17/2008",2008-01-17,-1995.5
"01/17/2008",2008-01-17,-21216.57
"01/17/2008",2008-01-17,-2872.98
"01/17/2008",2008-01-17,-98630.9
"01/17/2008",2008-01-17,-44746.61
"01/17/2008",2008-01-17,-1588.21
"01/17/2008",2008-01-17,-4248.82
"01/17/2008",2008-01-17,-449.2
"01/17/2008",2008-01-17,-6211.88
"01/17/2008",2008-01-17,-19469.25
"01/17/2008",2008-01-17,-184.16
"01/17/2008",2008-01-17,-1218.54
"01/17/2008",2008-01-17,-25656.57
"01/17/2008",2008-01-17,-1884.65
"01/17/2008",2008-01-17,90270.16
"01/18/2008",2008-01-18,220000
"01/18/2008",2008-01-18,9272.48
"01/18/2008",2008-01-18,-325900
"01/22/2008",2008-01-22,4e+05
"01/22/2008",2008-01-22,10539.03
"01/22/2008",2008-01-22,144635.11
"01/22/2008",2008-01-22,3349.23
"01/22/2008",2008-01-22,234147.52
"01/22/2008",2008-01-22,8786.35
"01/23/2008",2008-01-23,3e+05
"01/23/2008",2008-01-23,691.68
"01/23/2008",2008-01-23,2629
"01/23/2008",2008-01-23,-2966.38
"01/23/2008",2008-01-23,-45535.7
"01/23/2008",2008-01-23,-423456.15
"01/23/2008",2008-01-23,-20736.17
"01/23/2008",2008-01-23,-7248.82
"01/23/2008",2008-01-23,-3809000
"01/23/2008",2008-01-23,-16276
"01/24/2008",2008-01-24,715000
"01/24/2008",2008-01-24,1628.88
"01/24/2008",2008-01-24,2197.4
"01/24/2008",2008-01-24,-315000
"01/25/2008",2008-01-25,508000
"01/25/2008",2008-01-25,911.69
"01/25/2008",2008-01-25,9968.32
"01/25/2008",2008-01-25,1638.89
"01/25/2008",2008-01-25,2616.72
"01/25/2008",2008-01-25,28482.24
"01/25/2008",2008-01-25,3348.12
"01/25/2008",2008-01-25,5095.67
"01/25/2008",2008-01-25,-270000
"01/28/2008",2008-01-28,514000
"01/28/2008",2008-01-28,5957.83
"01/28/2008",2008-01-28,10668.5
"01/28/2008",2008-01-28,-244000
"01/29/2008",2008-01-29,194000
"01/29/2008",2008-01-29,2001.34
"01/29/2008",2008-01-29,-166.62
"01/29/2008",2008-01-29,-13219.41
"01/29/2008",2008-01-29,-179266.77
"01/29/2008",2008-01-29,-3708000
"01/30/2008",2008-01-30,841000
"01/30/2008",2008-01-30,293.24
"01/30/2008",2008-01-30,7250.82
"01/30/2008",2008-01-30,-445000
"01/31/2008",2008-01-31,880000
"01/31/2008",2008-01-31,3853.18
"01/31/2008",2008-01-31,-306000
"01/02/2009",2009-01-02,57000
"01/02/2009",2009-01-02,-756000
"01/05/2009",2009-01-05,49000
"01/05/2009",2009-01-05,-884000
"01/06/2009",2009-01-06,55000
"01/06/2009",2009-01-06,-8279000
"01/06/2009",2009-01-06,24258.78
"01/07/2009",2009-01-07,52000
"01/07/2009",2009-01-07,-1676000
"01/08/2009",2009-01-08,235000
"01/08/2009",2009-01-08,-1184000
"01/09/2009",2009-01-09,155000
"01/09/2009",2009-01-09,-770000
"01/09/2009",2009-01-09,-49457.95
"01/09/2009",2009-01-09,-139083.23
"01/09/2009",2009-01-09,-40402.02
"01/12/2009",2009-01-12,82000
"01/12/2009",2009-01-12,-1041000
"01/12/2009",2009-01-12,-5443.67
"01/12/2009",2009-01-12,-563892.72
"01/12/2009",2009-01-12,-18262.42
"01/13/2009",2009-01-13,-8598800
"01/14/2009",2009-01-14,130000
"01/14/2009",2009-01-14,-1500200
"01/14/2009",2009-01-14,-419.68
"01/14/2009",2009-01-14,-22461.37
"01/14/2009",2009-01-14,-2464.6
"01/15/2009",2009-01-15,165000
"01/15/2009",2009-01-15,-843800
"01/16/2009",2009-01-16,150000
"01/16/2009",2009-01-16,-1033600
"01/16/2009",2009-01-16,24628.04
"01/16/2009",2009-01-16,419.22
"01/16/2009",2009-01-16,26754.27
"01/16/2009",2009-01-16,-185.94
"01/20/2009",2009-01-20,284000
"01/20/2009",2009-01-20,-9468800
"01/20/2009",2009-01-20,96733.65
"01/21/2009",2009-01-21,761000
"01/21/2009",2009-01-21,-1521700
"01/21/2009",2009-01-21,2536.65
"01/21/2009",2009-01-21,16146.29
"01/21/2009",2009-01-21,279725.27
"01/21/2009",2009-01-21,14979.51
"01/22/2009",2009-01-22,473000
"01/22/2009",2009-01-22,-1317900
"01/22/2009",2009-01-22,15032.69
"01/22/2009",2009-01-22,7736.47
