"date1","date","bal"
"01/01/2005",2005-01-01,3713.94
"02/01/2005",2005-02-01,0
"03/01/2005",2005-03-01,0
"04/01/2005",2005-04-01,1.14
"05/01/2005",2005-05-01,0
"06/01/2005",2005-06-01,59550668.37
"07/01/2005",2005-07-01,419116.05
"08/01/2005",2005-08-01,0
"09/01/2005",2005-09-01,0
"10/01/2005",2005-10-01,180025.74
"11/01/2005",2005-11-01,0
"12/01/2005",2005-12-01,0
"01/01/2006",2006-01-01,46.24
"02/01/2006",2006-02-01,0
"03/01/2006",2006-03-01,0
"04/01/2006",2006-04-01,0.02
"05/01/2006",2006-05-01,0
"06/01/2006",2006-06-01,603931600.85
"07/01/2006",2006-07-01,442627783.72
"08/01/2006",2006-08-01,371194762.65
"09/01/2006",2006-09-01,553449672.92
"10/01/2006",2006-10-01,459411758.02
"11/01/2006",2006-11-01,375544209.02
"12/01/2006",2006-12-01,477459457.62
"01/01/2007",2007-01-01,-1653000
"02/01/2007",2007-02-01,126058163.32
"03/01/2007",2007-03-01,117452963.75
"04/01/2007",2007-04-01,1718219.4
"05/01/2007",2007-05-01,0
"06/01/2007",2007-06-01,867837407.86
"07/01/2007",2007-07-01,732877813.3
"08/01/2007",2007-08-01,637176378.29
"09/01/2007",2007-09-01,766905852.76
"10/01/2007",2007-10-01,630537691.81
"11/01/2007",2007-11-01,538350379.06
"12/01/2007",2007-12-01,595099608.83
"01/01/2008",2008-01-01,429722589.07
"02/01/2008",2008-02-01,224045529.64
"03/01/2008",2008-03-01,184827054.79
"04/01/2008",2008-04-01,2681585.27
"05/01/2008",2008-05-01,0
"06/01/2008",2008-06-01,858608784.65
"07/01/2008",2008-07-01,698516633.66
"08/01/2008",2008-08-01,569154736.65
"09/01/2008",2008-09-01,663471780.53
"10/01/2008",2008-10-01,475764808.58
"11/01/2008",2008-11-01,323371795.08
"12/01/2008",2008-12-01,314844405.71
"01/01/2009",2009-01-01,7083648.55
"02/01/2009",2009-02-01,314094.01
"03/01/2009",2009-03-01,29481579
