"date1","date","trans"
"01/03/2005",2005-01-03,-3713.94
"01/03/2005",2005-01-03,326420.81
"01/03/2005",2005-01-03,-144930.55
"01/03/2005",2005-01-03,144930.55
"01/03/2005",2005-01-03,-326420.81
"01/04/2005",2005-01-04,1195704.2
"01/04/2005",2005-01-04,1468843.09
"01/04/2005",2005-01-04,-1195704.2
"01/04/2005",2005-01-04,-1468843.09
"01/05/2005",2005-01-05,735624.97
"01/05/2005",2005-01-05,923576.91
"01/05/2005",2005-01-05,-735624.97
"01/05/2005",2005-01-05,-923576.91
"01/06/2005",2005-01-06,420443.41
"01/06/2005",2005-01-06,-266212.75
"01/06/2005",2005-01-06,266212.75
"01/06/2005",2005-01-06,-420443.41
"01/07/2005",2005-01-07,249259.22
"01/07/2005",2005-01-07,315672.57
"01/07/2005",2005-01-07,-249259.22
"01/07/2005",2005-01-07,-315672.57
"01/10/2005",2005-01-10,266948.18
"01/10/2005",2005-01-10,-150995.64
"01/10/2005",2005-01-10,150995.64
"01/10/2005",2005-01-10,-266948.18
"01/11/2005",2005-01-11,1376832.88
"01/11/2005",2005-01-11,1425893.95
"01/11/2005",2005-01-11,-1376832.88
"01/11/2005",2005-01-11,-1425893.95
"01/12/2005",2005-01-12,638822.41
"01/12/2005",2005-01-12,855383.09
"01/12/2005",2005-01-12,-638822.41
"01/12/2005",2005-01-12,-855383.09
"01/13/2005",2005-01-13,440139.04
"01/13/2005",2005-01-13,-250847.55
"01/13/2005",2005-01-13,1241113.49
"01/13/2005",2005-01-13,-14594.93
"01/13/2005",2005-01-13,-3690.02
"01/13/2005",2005-01-13,-24397.61
"01/13/2005",2005-01-13,-682298.52
"01/13/2005",2005-01-13,-187258.62
"01/13/2005",2005-01-13,-64511.31
"01/13/2005",2005-01-13,-13514.93
"01/13/2005",2005-01-13,-440139.04
"01/14/2005",2005-01-14,583047.88
"01/14/2005",2005-01-14,-305576.53
"01/14/2005",2005-01-14,305576.53
"01/14/2005",2005-01-14,-583047.88
"01/18/2005",2005-01-18,1143343.45
"01/18/2005",2005-01-18,170840.56
"01/18/2005",2005-01-18,-1143343.45
"01/18/2005",2005-01-18,-11756.85
"01/18/2005",2005-01-18,-2212.1
"01/18/2005",2005-01-18,-156871.61
"01/19/2005",2005-01-19,2361939.15
"01/19/2005",2005-01-19,2115229.99
"01/19/2005",2005-01-19,-2361939.15
"01/19/2005",2005-01-19,-2115229.99
"01/20/2005",2005-01-20,2497650.48
"01/20/2005",2005-01-20,-36347.44
"01/20/2005",2005-01-20,-26393.65
"01/20/2005",2005-01-20,-13557.04
"01/20/2005",2005-01-20,-54785.55
"01/20/2005",2005-01-20,-6927.49
"01/20/2005",2005-01-20,472574.59
"01/20/2005",2005-01-20,-2497650.48
"01/20/2005",2005-01-20,-334563.42
"01/21/2005",2005-01-21,1108446.14
"01/21/2005",2005-01-21,332559.28
"01/21/2005",2005-01-21,-1108446.14
"01/21/2005",2005-01-21,-332559.28
"01/24/2005",2005-01-24,2061693.16
"01/24/2005",2005-01-24,-174085.92
"01/24/2005",2005-01-24,174085.92
"01/24/2005",2005-01-24,-2061693.16
"01/25/2005",2005-01-25,3323566.17
"01/25/2005",2005-01-25,1404951.28
"01/25/2005",2005-01-25,-3323566.17
"01/25/2005",2005-01-25,-1404951.28
"01/26/2005",2005-01-26,7280035.88
"01/26/2005",2005-01-26,887031.77
"01/26/2005",2005-01-26,-7280035.88
"01/26/2005",2005-01-26,-887031.77
"01/27/2005",2005-01-27,4640537.19
"01/27/2005",2005-01-27,-270443.09
"01/27/2005",2005-01-27,270443.09
"01/27/2005",2005-01-27,-4640537.19
"01/28/2005",2005-01-28,4251849.18
"01/28/2005",2005-01-28,-4251849.18
"01/28/2005",2005-01-28,335942.09
"01/28/2005",2005-01-28,-335942.09
"01/31/2005",2005-01-31,3476304.61
"01/31/2005",2005-01-31,1019664.97
"01/31/2005",2005-01-31,-4501.61
"01/31/2005",2005-01-31,-9099.51
"01/31/2005",2005-01-31,-21137.53
"01/31/2005",2005-01-31,-459974.26
"01/31/2005",2005-01-31,-10558.62
"01/31/2005",2005-01-31,-17294.56
"01/31/2005",2005-01-31,-81476.86
"01/31/2005",2005-01-31,-44492.59
"01/31/2005",2005-01-31,-17514.25
"01/31/2005",2005-01-31,-5763.6
"01/31/2005",2005-01-31,-1935.17
"01/31/2005",2005-01-31,-19303.2
"01/31/2005",2005-01-31,-3142.27
"01/31/2005",2005-01-31,-25593.36
"01/31/2005",2005-01-31,-141816.92
"01/31/2005",2005-01-31,5048.32
"01/31/2005",2005-01-31,-3476304.61
"01/31/2005",2005-01-31,-156060.66
"01/31/2005",2005-01-31,-5048.32
"01/03/2006",2006-01-03,-46.24
