                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                          333,111,827.8700                                            AL                       
              07/03/2006                     9,629.2800  CO-5440 DIST QUART EARNIN   2595402       AL                       
              07/03/2006                 1,287,426.4100  CO-5440 DIST QUART EARNIN   2595404       AL                       
              07/03/2006                    85,000.0000  CO-1110 STATE DEPOSITS      2595484       AL                       
              07/03/2006                  -615,465.6400  DI-3460 CWC OUT             2595536       AL                       
              07/03/2006                -2,151,000.0000  DI-2110 STATE UI WITHDRAW   2595563       AL                       
              07/05/2006                -1,310,500.0000  DI-2110 STATE UI WITHDRAW   2596054       AL                       
              07/06/2006                  -417,500.0000  DI-2110 STATE UI WITHDRAW   2597731       AL                       
              07/07/2006                   -14,681.6300  DI-3460 CWC OUT             2598358       AL                       
              07/07/2006                  -205,000.0000  DI-2110 STATE UI WITHDRAW   2598368       AL                       
              07/10/2006                   120,000.0000  CO-1110 STATE DEPOSITS      2598908       AL                       
              07/10/2006                    -6,712.2600  DI-3460 CWC OUT             2598964       AL                       
              07/10/2006                -2,301,000.0000  DI-2110 STATE UI WITHDRAW   2599002       AL                       
              07/11/2006                   269,000.0000  CO-1110 STATE DEPOSITS      2600056       AL                       
              07/11/2006                    -1,438.3900  DI-3460 CWC OUT             2600118       AL                       
              07/11/2006                -1,166,000.0000  DI-2110 STATE UI WITHDRAW   2600172       AL                       
              07/12/2006                   426,000.0000  CO-1110 STATE DEPOSITS      2600725       AL                       
              07/12/2006                    -1,408.8100  DI-3460 CWC OUT             2600768       AL                       
              07/12/2006                      -133.5300  DI-3460 CWC OUT             2600770       AL                       
              07/12/2006                  -703,000.0000  DI-2110 STATE UI WITHDRAW   2600833       AL                       
              07/13/2006                   876,000.0000  CO-1110 STATE DEPOSITS      2601409       AL                       
              07/13/2006                    -2,474.6200  DI-3460 CWC OUT             2601501       AL                       
              07/13/2006                   -78,624.2400  DI-3460 CWC OUT             2601503       AL                       
              07/13/2006                  -406,000.0000  DI-2110 STATE UI WITHDRAW   2601547       AL                       
              07/14/2006                   580,000.0000  CO-1110 STATE DEPOSITS      2602101       AL                       
              07/14/2006                  -336,862.8400  DI-3460 CWC OUT             2602204       AL                       
              07/14/2006                      -782.1700  DI-3460 CWC OUT             2602206       AL                       
              07/14/2006                  -248,000.0000  DI-2110 STATE UI WITHDRAW   2602276       AL                       
              07/17/2006                   373,000.0000  CO-1110 STATE DEPOSITS      2602854       AL                       
              07/17/2006                       877.4600  CO-3461 CWC IN              2602935       AL                       
              07/17/2006                      -852.9100  DI-3460 CWC OUT             2602956       AL                       
              07/17/2006                     3,323.7800  CO-3461 CWC IN              2602973       AL                       
              07/17/2006                -2,531,500.0000  DI-2110 STATE UI WITHDRAW   2603008       AL                       
              07/18/2006                   534,000.0000  CO-1110 STATE DEPOSITS      2604085       AL                       
              07/18/2006                    20,633.2100  CO-3461 CWC IN              2604178       AL                       
              07/18/2006                       -83.6100  DI-3460 CWC OUT             2604203       AL                       
              07/18/2006                    -5,125.3700  DI-3460 CWC OUT             2604205       AL                       
              07/18/2006                   -22,914.9900  DI-3460 CWC OUT             2604207       AL                       
              07/18/2006                   139,448.3800  CO-3461 CWC IN              2604220       AL                       
              07/18/2006                     2,743.2800  CO-3461 CWC IN              2604242       AL                       
              07/18/2006                     2,042.1900  CO-3461 CWC IN              2604262       AL                       
              07/18/2006                -1,187,000.0000  DI-2110 STATE UI WITHDRAW   2604273       AL                       
              07/19/2006                   515,000.0000  CO-1110 STATE DEPOSITS      2607510       AL                       
              07/19/2006                    -3,261.4600  DI-3460 CWC OUT             2607688       AL                       
              07/19/2006                       -19.3600  DI-3460 CWC OUT             2607690       AL                       
