                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                          313,162,078.5700                                            NY                       
              01/02/2007                   866,874.7000  CO-1110 STATE DEPOSITS      2900676       NY                       
              01/02/2007                -1,653,000.0000  DI-2110 STATE UI WITHDRAW   2900826       NY                       
              01/03/2007                -1,840,568.5700  DI-3480 FEDTAX W/D FROM U   2901675       NY                       
              01/03/2007               -35,485,000.0000  DI-2110 STATE UI WITHDRAW   2901788       NY                       
              01/04/2007                   400,130.5500  CO-1110 STATE DEPOSITS      2901994       NY                       
              01/04/2007                  -392,500.7800  DI-3480 FEDTAX W/D FROM U   2902026       NY                       
              01/04/2007                -8,580,000.0000  DI-2110 STATE UI WITHDRAW   2902172       NY                       
              01/05/2007                   265,731.0500  CO-1110 STATE DEPOSITS      2902385       NY                       
              01/05/2007                  -234,577.0600  DI-3480 FEDTAX W/D FROM U   2902402       NY                       
              01/05/2007                    -7,269.8800  DI-3460 CWC OUT             2902420       NY                       
              01/05/2007                -4,450,000.0000  DI-2110 STATE UI WITHDRAW   2902587       NY                       
              01/08/2007                   592,748.6100  CO-1110 STATE DEPOSITS      2902824       NY                       
              01/08/2007                  -119,650.8700  DI-3480 FEDTAX W/D FROM U   2902862       NY                       
              01/08/2007                -1,943,000.0000  DI-2110 STATE UI WITHDRAW   2903016       NY                       
              01/09/2007                   707,483.8700  CO-1110 STATE DEPOSITS      2905239       NY                       
              01/09/2007                -1,447,886.7300  DI-3480 FEDTAX W/D FROM U   2905269       NY                       
              01/09/2007               -26,344,000.0000  DI-2110 STATE UI WITHDRAW   2905434       NY                       
              01/10/2007                   573,463.3300  CO-1110 STATE DEPOSITS      2905879       NY                       
              01/10/2007                  -686,186.7800  DI-3480 FEDTAX W/D FROM U   2905913       NY                       
              01/10/2007                    -2,625.0500  DI-3460 CWC OUT             2905932       NY                       
              01/10/2007                   -35,042.0000  DI-3460 CWC OUT             2905934       NY                       
              01/10/2007                   -10,225.0100  DI-3460 CWC OUT             2905936       NY                       
              01/10/2007               -13,586,000.0000  DI-2110 STATE UI WITHDRAW   2906073       NY                       
              01/11/2007                   459,056.3700  CO-1110 STATE DEPOSITS      2906532       NY                       
              01/11/2007                  -195,985.9800  DI-3480 FEDTAX W/D FROM U   2906562       NY                       
              01/11/2007                   -10,818.4900  DI-3460 CWC OUT             2906579       NY                       
              01/11/2007                    -3,122.6500  DI-3460 CWC OUT             2906581       NY                       
              01/11/2007                    -1,332.4700  DI-3460 CWC OUT             2906583       NY                       
              01/11/2007                  -852,406.6100  DI-3460 CWC OUT             2906585       NY                       
              01/11/2007                  -231,006.1300  DI-3460 CWC OUT             2906587       NY                       
              01/11/2007                   -52,388.2500  DI-3460 CWC OUT             2906589       NY                       
              01/11/2007                -3,926,000.0000  DI-2110 STATE UI WITHDRAW   2906762       NY                       
              01/12/2007                   665,971.7200  CO-1110 STATE DEPOSITS      2907223       NY                       
              01/12/2007                  -195,433.0300  DI-3480 FEDTAX W/D FROM U   2907260       NY                       
              01/12/2007                -3,575,000.0000  DI-2110 STATE UI WITHDRAW   2907447       NY                       
              01/16/2007                 1,074,034.0800  CO-1110 STATE DEPOSITS      2907519       NY                       
              01/16/2007                  -116,677.0900  DI-3480 FEDTAX W/D FROM U   2907918       NY                       
              01/16/2007                   -14,323.6300  DI-3460 CWC OUT             2907982       NY                       
              01/16/2007                    -9,496.5800  DI-3460 CWC OUT             2907984       NY                       
              01/16/2007                   -22,416.3400  DI-3460 CWC OUT             2907986       NY                       
              01/16/2007                    -2,402.5800  DI-3460 CWC OUT             2907988       NY                       
              01/16/2007                    -7,894.6100  DI-3460 CWC OUT             2907990       NY                       
