Final Report

                                                         Transaction
              Effective Date                 Shares/Par  Description Code           Memo Number    Account Number
              ---------------  ------------------------  -------------------------  -------------  -------------------------
UNITS - PARTICIPATING UNITS       
    Beginning                                    0.0000                                            NY                       
              05/02/2005               -10,785,000.0000  DI-2110 STATE UI WITHDRAW   2121389       NY                       
              05/02/2005                34,940,385.9700  CO-1110 STATE DEPOSITS      2122024       NY                       
              05/02/2005                  -120,420.5800  DI-3480 FEDTAX W/D FROM U   2127886       NY                       
              05/02/2005               -24,034,965.3900  DI-3310 LOAN REPAYMNT FRO   2127967       NY                       
              05/03/2005                   159,543.4800  CO-3461 CWC IN              2121500       NY                       
              05/03/2005                    63,749.7300  CO-3461 CWC IN              2121504       NY                       
              05/03/2005                    96,485.8600  CO-3461 CWC IN              2121510       NY                       
              05/03/2005                    95,256.0100  CO-3461 CWC IN              2121640       NY                       
              05/03/2005               -12,456,000.0000  DI-2110 STATE UI WITHDRAW   2121768       NY                       
              05/03/2005                95,792,541.3500  CO-1110 STATE DEPOSITS      2122103       NY                       
              05/03/2005                -1,216,389.4100  DI-3480 FEDTAX W/D FROM U   2127881       NY                       
              05/03/2005               -82,535,187.0200  DI-3310 LOAN REPAYMNT FRO   2127948       NY                       
              05/04/2005               162,355,199.5100  CO-1110 STATE DEPOSITS      2128260       NY                       
              05/04/2005                -9,025,000.0000  DI-2110 STATE UI WITHDRAW   2128389       NY                       
              05/04/2005                    38,007.4900  CO-3461 CWC IN              2128454       NY                       
              05/04/2005                    90,764.1600  CO-3461 CWC IN              2128474       NY                       
              05/04/2005                   264,729.4900  CO-3461 CWC IN              2128500       NY                       
              05/04/2005                    28,997.4200  CO-3461 CWC IN              2128520       NY                       
              05/04/2005                    57,137.0100  CO-3461 CWC IN              2128554       NY                       
              05/04/2005                  -714,367.4300  DI-3480 FEDTAX W/D FROM U   2128609       NY                       
              05/04/2005              -153,095,467.6500  DI-3310 LOAN REPAYMNT FRO   2128660       NY                       
              05/05/2005               239,962,294.8200  CO-1110 STATE DEPOSITS      2128712       NY                       
              05/05/2005                  -211,744.1200  DI-3480 FEDTAX W/D FROM U   2128848       NY                       
              05/05/2005                -6,045,000.0000  DI-2110 STATE UI WITHDRAW   2128984       NY                       
              05/05/2005                    36,813.5600  CO-3461 CWC IN              2129080       NY                       
              05/05/2005                    13,356.4200  CO-3461 CWC IN              2129116       NY                       
              05/05/2005                     5,517.6000  CO-3461 CWC IN              2129132       NY                       
              05/05/2005              -233,761,238.2800  DI-3310 LOAN REPAYMNT FRO   2129263       NY                       
              05/06/2005                    46,355.1700  CO-3461 CWC IN              2130535       NY                       
              05/06/2005                    -1,494.9500  DI-3460 CWC OUT             2130542       NY                       
              05/06/2005                   143,060.4600  CO-3461 CWC IN              2130565       NY                       
              05/06/2005                -7,218,000.0000  DI-2110 STATE UI WITHDRAW   2130738       NY                       
              05/06/2005               528,189,628.4600  CO-1110 STATE DEPOSITS      2130832       NY                       
              05/06/2005                  -266,692.7000  DI-3480 FEDTAX W/D FROM U   2130857       NY                       
              05/06/2005              -520,892,856.4400  DI-3310 LOAN REPAYMNT FRO   2130887       NY                       
              05/09/2005               175,111,299.0200  CO-1110 STATE DEPOSITS      2131276       NY                       
              05/09/2005                  -122,754.0800  DI-3480 FEDTAX W/D FROM U   2131320       NY                       
              05/09/2005                    13,913.4600  CO-3461 CWC IN              2131352       NY                       
              05/09/2005                    24,638.4300  CO-3461 CWC IN              2131364       NY                       
              05/09/2005               -10,852,000.0000  DI-2110 STATE UI WITHDRAW   2131484       NY                       
              05/09/2005               -32,560,573.2800  DI-3310 LOAN REPAYMNT FRO   2131620       NY                       
              05/10/2005                44,940,954.5600  CO-1110 STATE DEPOSITS      2134907       NY                       
